Name,active,address,birthdate,email,id,mobile,photo,teams,tenure
Rachel209 Hamilton216,TRUE,"715 E Pine St, Seattle, WA 98122",10/16/1952,rhamilton866@baileyllc.com,u6zvmang,(249)228-6015x87122,https://solutions.appsheet.com/hubfs/enterprise3.png,"Alpha Team , Bravo Team",14
Johnny838 Wilson928,TRUE,"2201 E Madison St, Seattle, WA 98112",11/14/1968,jwilson@riddlethomas.biz,lgwz10oc,6580009049,https://solutions.appsheet.com/hubfs/enterprise2.png,"Alpha Team , Bravo Team",7
Colin827 Mercado187,TRUE,"7956 Molly Avenue Crescent, Woodland, Washington 79735",12/4/1959,remain_colin@burgessgroup.com,6zuwvxaf,(004)118-9343,https://solutions.appsheet.com/hs-fs/hubfs/enterprise1.png?width=1200&height=740&name=enterprise1.png,"Alpha Team , Bravo Team",22
Tyrone368 Sanchez859,TRUE,"9253 Torres Harbors Lane, West Richland, Washington 39253",11/29/1938,tsanchez@vaughntorres.com,313rcvyr,842-336-8112x192,https://solutions.appsheet.com/hubfs/enterprise3.png,"Alpha Team , Bravo Team",9
Emily975 Williams958,TRUE,"9982 Ruben Viaduct Alley, Wenatchee, Washington 85712",12/19/1996,ewilliams@gouldbirdandbrown.com,iookf1ok,(653)996-0342x37133,https://solutions.appsheet.com/hubfs/enterprise2.png,"Alpha Team , Bravo Team",2
Lauren312 Edwards994,TRUE,"2576 Escobar Orchard Backroad, Waterville, Washington 64341",5/19/1967,ledwards@thomasplc.org,txklnxn1,001-218-406-8710,https://solutions.appsheet.com/hs-fs/hubfs/enterprise1.png?width=1200&height=740&name=enterprise1.png,"Alpha Team , Bravo Team",2
Nancy714 Rios559,TRUE,"7733 Michael Oval Drive, University Place, Washington 24051",12/21/1976,nrios299@marshallllc.com,ybrxemj8,(271)374-9261,https://solutions.appsheet.com/hubfs/enterprise3.png,"Alpha Team , Bravo Team",21
Jenna221 Cooper382,TRUE,"2283 Jessica Mount Drive, Toppenish, Washington 91502",9/19/1949,jcooper@jonesandsons.com,jcj87qjz,398.471.0762,https://solutions.appsheet.com/hubfs/enterprise2.png,"Alpha Team , Bravo Team",2
Joshua687 Barton589,TRUE,"5461 Garcia Branch Rd, Thorp, Washington 85525",7/25/1967,jbarton@wellsrollinsandbooker.com,kx9088ml,(837)573-0549,https://solutions.appsheet.com/hs-fs/hubfs/enterprise1.png?width=1200&height=740&name=enterprise1.png,"Alpha Team , Bravo Team",24
John714 Gallagher605,TRUE,"8791 Martin Spring Byway, Tahuya, Washington 69583-9035",7/16/1982,jgallagher@colethomas.com,y85ao561,001-357-602-6096x69094,https://solutions.appsheet.com/hubfs/enterprise3.png,"Alpha Team , Bravo Team",5
Amber748 Ranasinghe357,TRUE,"8651 Bradley Spurs Close, Tacoma, Washington 02013",10/7/1994,door_amber@chambersschneiderandbrock.com,f0tiz30z,810-337-7236x71119,https://solutions.appsheet.com/hubfs/enterprise2.png,"Alpha Team , Bravo Team",24
Kristen562 Huseynov190,TRUE,"1738 Harris Manors Street, Seattle, Washington 51390-5182",3/14/1947,little_kristen@doylewheeler.biz,xvlmnkam,001-597-794-5662x088,https://solutions.appsheet.com/hs-fs/hubfs/enterprise1.png?width=1200&height=740&name=enterprise1.png,"Alpha Team , Bravo Team",8
Wanda239 Rush848,TRUE,"1199 Luis Tunnel Alley, Seattle, Washington 57005-6340",6/25/1952,wrush675@weberltd.net,cghii5b0,687.572.5193x911,https://solutions.appsheet.com/hubfs/enterprise3.png,"Alpha Team , Bravo Team",14
Phillip666 White266,TRUE,"2348 Jermaine Rest Drive, Ridgefield, Washington 55219",3/28/1938,different_phillip@williskingandevans.biz,dnd9bpvm,5780507555,https://solutions.appsheet.com/hubfs/enterprise2.png,"Alpha Team , Bravo Team",23
